Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Makhaeva, G.F., Lushchekina, S.V., Boltneva, N.P., Serebryakova, O.G., Kovaleva, N.V., Rudakova, E.V., Elkina, N.A., Shchegolkov, E.V., Burgart, Y.V., Stupina, T.S., Terentiev, A.A., Radchenko, E.V., Palyulin, V.A., Saloutin, V.I., Bachurin, S.O., Richardson, R.J.","6701632592; 57209024315; 26027745500; 26028099700; 7101643627; 6603577182; 57209887339; 57222637012; 57222741481; 55247115300; 57211967310; 8088593300; 7004680906; 7006326168; 7007087179; 35519059400","Novel potent bifunctional carboxylesterase inhibitors based on a polyfluoroalkyl-2-imino-1,3-dione scaffold",2021,"European Journal of Medicinal Chemistry",218,"", 113385,,,,,10.1016/j.ejmech.2021.113385,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103962019&partnerID=40&md5=6d96fa48536f2cad696f4ba853bb53aa",Article,Final,,Scopus,2-s2.0-85103962019
"Borioni, J.L., Cavallaro, V., Murray, A.P., Peñéñory, A.B., Puiatti, M., García, M.E.","55909383600; 56046492900; 7401932975; 6601976762; 7003720609; 57198924607","Design, synthesis and evaluation of cholinesterase hybrid inhibitors using a natural steroidal alkaloid as precursor",2021,"Bioorganic Chemistry",111,"", 104893,,,,,10.1016/j.bioorg.2021.104893,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104325685&partnerID=40&md5=85183ea6c60f2bd903f006ae57b3ed15",Article,Final,,Scopus,2-s2.0-85104325685
"Senizza, B., Rocchetti, G., Sinan, K.I., Zengin, G., Mahomoodally, M.F., Glamocilja, J., Sokovic, M., Lobine, D., Etienne, O.K., Lucini, L.","57209855876; 57191919547; 57207104365; 8411629800; 9537009000; 57217203020; 25226187200; 57189832117; 57211668738; 25926562200","The phenolic and alkaloid profiles of Solanum erianthum and Solanum torvum modulated their biological properties",2021,"Food Bioscience",41,"", 100974,,,,,10.1016/j.fbio.2021.100974,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102584341&partnerID=40&md5=db70520d60ee74b454c75b1373720fcd",Article,Final,,Scopus,2-s2.0-85102584341
"Ceylan, R., Demirbas, A., Ocsoy, I., Aktumsek, A.","56266138800; 57189310114; 37017685100; 55821816000","Green synthesis of silver nanoparticles using aqueous extracts of three Sideritis species from Turkey and evaluations bioactivity potentials",2021,"Sustainable Chemistry and Pharmacy",21,"", 100426,,,,,10.1016/j.scp.2021.100426,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104434251&partnerID=40&md5=011333902fb65b037c6d7a5db3ed9ffe",Article,Final,,Scopus,2-s2.0-85104434251
"Boga, M., Ersoy, E., Eroglu Ozkan, E., Cinar, E., Mataraci Kara, E., Yesil Canturk, Y., Zengin, G.","35866927300; 57210833255; 55308081600; 56004868800; 57221861077; 57222074487; 8411629800","Volatile and phenolic profiling of a traditional medicinal plant, Hypericum empetrifolium with in vitro biological activities",2021,"Journal of Ethnopharmacology",272,"", 113933,,,,,10.1016/j.jep.2021.113933,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101199865&partnerID=40&md5=4d57d474b410652eea31d41e0e4822f9",Article,Final,,Scopus,2-s2.0-85101199865
"Zengin, G., Mahomoodally, M.F., Picot-Allain, M.C.N., Sinan, K.I., Ak, G., Etienne, O.K., Sieniawska, E., Maciejewska-Turska, M., Świątek, Rajtar, B., Polz-Dacewicz, M.","8411629800; 9537009000; 57210854057; 57207104365; 57216362353; 57211668738; 37063665300; 57222339331; 16234878600; 16203868700; 6602464775","Chemical composition, biological properties and bioinformatics analysis of two Caesalpina species: A new light in the road from nature to pharmacy shelf",2021,"Journal of Pharmaceutical and Biomedical Analysis",198,"", 114018,,,,,10.1016/j.jpba.2021.114018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102350704&partnerID=40&md5=10c6f1d5231d8fa994b8fffe445d9b63",Article,Final,,Scopus,2-s2.0-85102350704
"Adiguzel, R., Türkan, F., Yildiko, Ü., Aras, A., Evren, E., Onkol, T.","36343285400; 57115336200; 14036733200; 57192944111; 57211271868; 6603316392","Synthesis and in silico studies of Novel Ru(II) complexes of Schiff base derivatives of 3-[(4-amino-5-thioxo-1,2,4-triazole-3-yl)methyl]-2(3H)-benzoxazolone compounds as potent Glutathione S-transferase and Cholinesterases Inhibitor",2021,"Journal of Molecular Structure",1231,"", 129943,,,,,10.1016/j.molstruc.2021.129943,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100063860&partnerID=40&md5=8ad29003c9f5f9ad37c73d5aac6b22fd",Article,Final,,Scopus,2-s2.0-85100063860
"Tokalı, F.S., Taslimi, P., Usanmaz, H., Karaman, M., Şendil, K.","56938953100; 56658628800; 57191849663; 56651164200; 12768207300","Synthesis, characterization, biological activity and molecular docking studies of novel schiff bases derived from thiosemicarbazide: Biochemical and computational approach",2021,"Journal of Molecular Structure",1231,"", 129666,,,,,10.1016/j.molstruc.2020.129666,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098587429&partnerID=40&md5=8639bf712023060878c170b9cac6f8b7",Article,Final,,Scopus,2-s2.0-85098587429
"Pomara, N., Bruno, D., Plaska, C.R., Pillai, A., Ramos-Cejudo, J., Osorio, R., Imbimbo, B.P., Heslegrave, A., Zetterberg, H., Blennow, K.","7005360684; 37114115000; 57219812928; 57222463066; 54409165400; 35091427400; 16193894100; 36463576300; 6701454676; 56415176000","Evidence of upregulation of the cholinergic anti-inflammatory pathway in late-life depression",2021,"Journal of Affective Disorders",286,"",,275,281,,,10.1016/j.jad.2021.03.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102764375&partnerID=40&md5=92bce58bd5bbb6b2ee5d7bc38c9a374e",Article,Final,,Scopus,2-s2.0-85102764375
"Li, F., Yan, S., Huang, Z., Gao, W., Zhang, S., Mo, S., Lin, S., Wang, J., Hu, Z., Zhang, Y.","57202906028; 57210892299; 57222572491; 57191276058; 57204715745; 57209207236; 57201499664; 56387684900; 55874323500; 7601314400","Inducing new bioactive metabolites production from coculture of Pestalotiopsis sp. and Penicillium bialowiezense",2021,"Bioorganic Chemistry",110,"", 104826,,,,,10.1016/j.bioorg.2021.104826,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103232297&partnerID=40&md5=f8c996d5b19590e6321a03e27b565e7b",Article,Final,,Scopus,2-s2.0-85103232297
"Shaikh, S., Pavale, G., Dhavan, P., Singh, P., Uparkar, J., Vaidya, S.P., Jadhav, B.L., Ramana, M.M.V.","57213835771; 57213822064; 57211275639; 57220898338; 57220901373; 57220902241; 12795185900; 7006111837","Design, synthesis and evaluation of dihydropyranoindole derivatives as potential cholinesterase inhibitors against Alzheimer's disease",2021,"Bioorganic Chemistry",110,"", 104770,,,,,10.1016/j.bioorg.2021.104770,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101844627&partnerID=40&md5=47eec3ada802f43b7724abec494d1c97",Article,Final,,Scopus,2-s2.0-85101844627
"Silman, I., Shnyrov, V.L., Ashani, Y., Roth, E., Nicolas, A., Sussman, J.L., Weiner, L.","7006335104; 35498441200; 7004708228; 56220216300; 57198252252; 57206480460; 57222557239","Torpedo californica acetylcholinesterase is stabilized by binding of a divalent metal ion to a novel and versatile 4D motif",2021,"Protein Science",30,"5",,966,981,,,10.1002/pro.4061,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103192647&partnerID=40&md5=426fdc7dba37fd4e48168de02ed29d19",Article,Final,Open Access,Scopus,2-s2.0-85103192647
"Hammoudi, N.-E.-H., Sobhi, W., Attoui, A., Lemaoui, T., Erto, A., Benguerba, Y.","57216565663; 54794446000; 57219056183; 57216563414; 23469339800; 35784090300","In silico drug discovery of Acetylcholinesterase and Butyrylcholinesterase enzymes inhibitors based on Quantitative Structure-Activity Relationship (QSAR) and drug-likeness evaluation",2021,"Journal of Molecular Structure",1229,"", 129845,,,,,10.1016/j.molstruc.2020.129845,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099133773&partnerID=40&md5=8a72e7da42e37f1f5bcdf88f03d9a436",Article,Final,,Scopus,2-s2.0-85099133773
"Saeedi, M., Maleki, A., Iraji, A., Hariri, R., Akbarzadeh, T., Edraki, N., Firuzi, O., Mirfazli, S.S.","16025430900; 57221313293; 52563516100; 56973988700; 6603207671; 8240637300; 6505800306; 55813043700","Synthesis and bio-evaluation of new multifunctional methylindolinone-1,2,3-triazole hybrids as anti-Alzheimer's agents",2021,"Journal of Molecular Structure",1229,"", 129828,,,,,10.1016/j.molstruc.2020.129828,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098749411&partnerID=40&md5=d21ef10bf5f400f41c9233e3d6c39a20",Article,Final,,Scopus,2-s2.0-85098749411
"Song, M.-Q., Min, W., Wang, J., Si, X.-X., Wang, X.-J., Liu, Y.-W., Shi, D.-H.","57195838321; 57195835261; 57214695559; 57221437263; 57215693217; 56042321000; 9735848400","Design, synthesis and biological evaluation of new carbazole-coumarin hybrids as dual binding site inhibitors of acetylcholinesterase",2021,"Journal of Molecular Structure",1229,"", 129784,,,,1,10.1016/j.molstruc.2020.129784,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099165106&partnerID=40&md5=e303c190366dd11e11b582fb16c5fd1e",Article,Final,,Scopus,2-s2.0-85099165106
"Shahrivar-Gargari, M., Hamzeh-Mivehroud, M., Hemmati, S., Shahbazi Mojarrad, J., Notash, B., Tüylü Küçükkılınç, T., Ayazgök, B., Dastmalchi, S.","16029655500; 23027465200; 36972287800; 57221335406; 8719969200; 57220116044; 57194008482; 6603660255","Design, synthesis, and biological evaluation of novel indanone-based hybrids as multifunctional cholinesterase inhibitors for Alzheimer's disease",2021,"Journal of Molecular Structure",1229,"", 129787,,,,1,10.1016/j.molstruc.2020.129787,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098999242&partnerID=40&md5=90a45dc4b3e34c6db61a3ab6dfa4dc6b",Article,Final,,Scopus,2-s2.0-85098999242
"Manzoor, S., Prajapati, S.K., Majumdar, S., Raza, K., Gabr, M.T., Kumar, S., Pal, K., Rashid, H., Kumar, S., Krishnamurthy, S., Hoda, N.","57218934321; 57193095201; 57210921433; 57221933436; 56180367000; 57203425731; 57221936203; 7102095351; 57215054643; 16686765100; 56671221300","Discovery of new phenyl sulfonyl-pyrimidine carboxylate derivatives as the potential multi-target drugs with effective anti-Alzheimer's action: Design, synthesis, crystal structure and in-vitro biological evaluation",2021,"European Journal of Medicinal Chemistry",215,"", 113224,,,,,10.1016/j.ejmech.2021.113224,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100657999&partnerID=40&md5=ebc8c1c20b133f98769ad6fc28bb0bb0",Article,Final,,Scopus,2-s2.0-85100657999
"Stasiłowicz, A., Rosiak, N., Tykarska, E., Kozak, M., Jenczyk, J., Szulc, P., Kobus-Cisowska, J., Lewandowska, K., Płazińska, A., Płaziński, W., Cielecka-Piontek, J.","57204433755; 57206186101; 6602477397; 7102680957; 24773128700; 11140043600; 37052403900; 16063781800; 24597914000; 9941929600; 15070391100","Combinations of piperine with hydroxypropyl-β-cyclodextrin as a multifunctional system",2021,"International Journal of Molecular Sciences",22,"8", 4195,,,,,10.3390/ijms22084195,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104317139&partnerID=40&md5=d12a94356b120f9861276a6e40797dd6",Article,Final,Open Access,Scopus,2-s2.0-85104317139
"Hudáčová, M., Hamul’aková, S., Konkol’ová, E., Jendželovský, R., Vargová, J., Ševc, J., Fedoročko, P., Soukup, O., Janočková, J., Ihnatova, V., Kučera, T., Bzonek, P., Novakova, N., Jun, D., Junova, L., Korábečný, J., Kuča, K., Kožurková, M.","57222380358; 37002794000; 57217145525; 56427046500; 55934722500; 26428421300; 6701661537; 23968390800; 55440335300; 57222655418; 57194598047; 57212216338; 57222655358; 8646672600; 57201984626; 57221202347; 9745735500; 6602708378","Synthesis of new biscoumarin derivatives, in vitro cholinesterase inhibition, molecular modelling and antiproliferative effect in a549 human lung carcinoma cells",2021,"International Journal of Molecular Sciences",22,"8", 3830,,,,,10.3390/ijms22083830,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103667394&partnerID=40&md5=d88d052685432d97f6a7ed6de801949f",Article,Final,Open Access,Scopus,2-s2.0-85103667394
"Gbenga-Fabusiwa, F.J., Oladele, E.P., Oboh, G., Adefegha, S.A., Fabusiwa, O.F., Osho, P.O.","57200578165; 57222110311; 6603569317; 35361579100; 57212258541; 56115653400","Modulatory effect of pigeon pea-wheat biscuits on lipid profile, lipid peroxidation level, α-glucosidase, and butyrylcholinesterase activities in type-2 diabetic patients",2021,"Journal of Food Biochemistry",45,"4", e13658,,,,,10.1111/jfbc.13658,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101480990&partnerID=40&md5=2c44e940d061d43952f5735a76aec460",Article,Final,,Scopus,2-s2.0-85101480990
"Lonshakova-Mukina, V.I., Esimbekova, E.N., Kratasyuk, V.A.","56543504000; 6602373521; 6603797047","Thermal inactivation of butyrylcholinesterase in starch and gelatin gels",2021,"Catalysts",11,"4", 492,,,,,10.3390/catal11040492,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103986224&partnerID=40&md5=d95210e985ecf99495a9c58767230c55",Article,Final,Open Access,Scopus,2-s2.0-85103986224
"Cloete, S.J., Petzer, A., Petzer, J.P.","57219149933; 53664306800; 6602261919","Interactions of dye compounds that are structurally related to methylene blue with acetylcholinesterase and butyrylcholinesterase",2021,"Chemical Biology and Drug Design",97,"4",,854,864,,,10.1111/cbdd.13814,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097493675&partnerID=40&md5=8f171c2151e2063be581eb7d341317e6",Article,Final,,Scopus,2-s2.0-85097493675
"Macharoen, K., Du, M., Jung, S., McDonald, K.A., Nandi, S.","57217997105; 57220646919; 57220632389; 7202491487; 7103084049","Production of recombinant butyrylcholinesterase from transgenic rice cell suspension cultures in a pilot-scale bioreactor",2021,"Biotechnology and Bioengineering",118,"4",,1431,1443,,,10.1002/bit.27638,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097513473&partnerID=40&md5=40911807e2a62154a6b001b390b16ec3",Article,Final,,Scopus,2-s2.0-85097513473
"Zarei, S., Shafiei, M., Firouzi, M., Firoozpour, L., Divsalar, K., Asadipour, A., Akbarzadeh, T., Foroumadi, A.","57222671250; 56082762500; 57222669829; 16039425100; 8627349700; 57216089509; 6603207671; 7003549932","Design, synthesis and biological assessment of new 1-benzyl-4-((4-oxoquinazolin-3(4H)-yl)methyl) pyridin-1-ium derivatives (BOPs) as potential dual inhibitors of acetylcholinesterase and butyrylcholinesterase",2021,"Heliyon",7,"4", e06683,,,,,10.1016/j.heliyon.2021.e06683,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103705033&partnerID=40&md5=3eb7014dcd9bbc00bf4e7dd966c03f05",Article,Final,Open Access,Scopus,2-s2.0-85103705033
"Prudente, I.R.G., Souza, B.R.S., Nascimento, L.D.C., Gonçalves, V.S.D.S., Silva, D.S.D., Rabelo, T.K., Alves, O., Santos, A.C., de Rezende Neto, J.M., Tavares, D.D.S., Santos, M.B., Barreto, A.S., Pereira, F.A., Kaiser, C.C., Guimarães, A.G.","57203417063; 57213540216; 57203409227; 57222488502; 57222490594; 57196021278; 57222487674; 57199742514; 42560936400; 57218249478; 56202133400; 54382735600; 57222493507; 57203408119; 35773153200","Nephrotoxic Effects Caused by Occupational Exposure to Agrochemicals in a Region of Northeastern Brazil: A Cross-Sectional Study",2021,"Environmental Toxicology and Chemistry",40,"4",,1132,1138,,,10.1002/etc.4962,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102896091&partnerID=40&md5=4dc5adf92edcf13991da6b20bf91e711",Article,Final,,Scopus,2-s2.0-85102896091
"Akocak, S., Taslimi, P., Lolak, N., Işık, M., Durgun, M., Budak, Y., Türkeş, C., Gülçin, İ., Beydemir, Ş.","56151726700; 56658628800; 16039658300; 56597706300; 55078111000; 6507957342; 55857860900; 35509141500; 6603903192","Synthesis, Characterization, and Inhibition Study of Novel Substituted Phenylureido Sulfaguanidine Derivatives as α-Glycosidase and Cholinesterase Inhibitors",2021,"Chemistry and Biodiversity",18,"4", e2000958,,,,,10.1002/cbdv.202000958,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102314847&partnerID=40&md5=7cb89b42faa048dcc25e65a5f30e9da9",Article,Final,,Scopus,2-s2.0-85102314847
"Meek, E.C., Carr, R.L., Chambers, J.E.","7004566552; 35611093700; 7402476015","In vitro age-related differences in rats to organophosphates",2021,"Toxicology in Vitro",72,"", 105102,,,,,10.1016/j.tiv.2021.105102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100067434&partnerID=40&md5=0a404b5dd2196a19a72176077a40cdff",Article,Final,,Scopus,2-s2.0-85100067434
"Katić, A., Kašuba, V., Kopjar, N., Lovaković, B.T., Marjanović Čermak, A.M., Mendaš, G., Micek, V., Milić, M., Pavičić, I., Pizent, A., Žunec, S., Želježić, D.","57215213764; 55908519500; 6603918310; 57194702407; 57216202989; 6506705756; 36710359000; 7006630928; 6506066853; 6603340210; 55789621200; 6603018137","Effects of low-level imidacloprid oral exposure on cholinesterase activity, oxidative stress responses, and primary DNA damage in the blood and brain of male Wistar rats",2021,"Chemico-Biological Interactions",338,"", 109287,,,,,10.1016/j.cbi.2020.109287,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101147869&partnerID=40&md5=0202afca5f5981157d62863725ad9e45",Article,Final,,Scopus,2-s2.0-85101147869
"Cano-Lamadrid, M., Tkacz, K., Turkiewicz, I.P., Nowicka, P., Hernández, F., Lech, K., Carbonell-Barrachina, Á.A., Wojdyło, A.","56523318400; 57207858637; 57207861322; 57118370800; 55851947314; 57220667310; 8594309600; 55901767500","Inhibition of enzymes associated with metabolic and neurological disorder by dried pomegranate sheets as a function of pomegranate cultivar and fruit puree",2021,"Journal of the Science of Food and Agriculture",101,"6",,2294,2303,,,10.1002/jsfa.10850,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093500389&partnerID=40&md5=c57be676ff500a5ba2e2b5fa7b949ec5",Article,Final,,Scopus,2-s2.0-85093500389
"Mphahlele, M.J., Gildenhuys, S., Zamisa, S.J.","26644334300; 24337972500; 55900856000","Synthesis, structure and evaluation of the N-(2-Acetyl-4-(styryl)phenyl)-4-benzenesulfonamide derivatives for anticholinesterase and antioxidant activities",2021,"Crystals",11,"4", 341,,,,,10.3390/cryst11040341,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103569664&partnerID=40&md5=337d74eeba089a7adaa586f65969f01d",Article,Final,Open Access,Scopus,2-s2.0-85103569664
